epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,264.73,0.79726,0.96394,0.46069,1.16528,0.99414,0.99747,0.99458,0.70216,0.66593,0.66747,0.57537,0.2035,1.04732,1.19075,0.49054,1.37968,0.00076075,0.00076075,0.00076075
31,273.006,0.78253,0.95649,0.45442,1.15169,0.99246,0.99533,0.99268,0.68339,0.66472,0.66554,0.58342,0.20012,1.04369,1.15899,0.49635,1.36255,0.0007525,0.0007525,0.0007525
32,281.23,0.7832,0.95073,0.45816,1.14553,0.99507,0.99588,0.99496,0.7114,0.69379,0.69285,0.61974,0.21497,1.06976,1.17642,0.49516,1.37946,0.00074425,0.00074425,0.00074425
33,289.765,0.78002,0.95802,0.4593,1.14712,0.99313,0.99395,0.99316,0.7079,0.72846,0.72755,0.64014,0.21454,1.03918,1.16054,0.49544,1.36512,0.000736,0.000736,0.000736
34,298.027,0.71625,0.87779,0.41812,1.10625,0.99598,0.99693,0.99498,0.69166,0.68578,0.68383,0.59699,0.20609,1.11731,1.16759,0.5029,1.42024,0.00072775,0.00072775,0.00072775
35,306.297,0.73564,0.91238,0.43433,1.11677,0.99268,0.99681,0.99429,0.70635,0.71177,0.71224,0.6333,0.20919,1.0821,1.15812,0.48609,1.39373,0.0007195,0.0007195,0.0007195
36,314.404,0.74966,0.90442,0.43738,1.12771,0.99372,0.99734,0.99431,0.68345,0.69723,0.69894,0.61861,0.20968,1.07693,1.18664,0.47508,1.43074,0.00071125,0.00071125,0.00071125
37,322.429,0.70716,0.86089,0.4225,1.10223,0.99439,0.99864,0.99426,0.71005,0.70244,0.70306,0.61493,0.21199,1.00216,1.17148,0.45752,1.35368,0.000703,0.000703,0.000703
38,330.44,0.69834,0.83289,0.39875,1.08971,0.98617,0.99431,0.99455,0.6605,0.58493,0.58673,0.51106,0.18587,1.2737,1.24779,0.53346,1.61559,0.00069475,0.00069475,0.00069475
39,338.446,0.70196,0.908,0.42397,1.08981,0.99103,0.9924,0.99374,0.69405,0.61939,0.61322,0.53781,0.17881,1.06813,1.43276,0.49473,1.43099,0.0006865,0.0006865,0.0006865
40,346.462,0.68002,0.85325,0.40197,1.08198,0.9944,0.99756,0.99439,0.70463,0.68815,0.68966,0.60083,0.2139,1.01837,1.25439,0.46506,1.40474,0.00067825,0.00067825,0.00067825
41,354.567,0.67671,0.83932,0.40145,1.07596,0.99471,0.99505,0.99405,0.71389,0.7126,0.71239,0.6384,0.23022,1.01059,1.14854,0.44679,1.36753,0.00067,0.00067,0.00067
42,362.754,0.65961,0.84165,0.40098,1.06045,0.99304,0.99884,0.994,0.69546,0.68606,0.68204,0.59936,0.21226,1.05718,1.3191,0.48494,1.44769,0.00066175,0.00066175,0.00066175
43,370.822,0.66409,0.82574,0.39363,1.06827,0.99444,0.99053,0.9942,0.71532,0.76069,0.75155,0.68894,0.23516,0.9993,1.17476,0.45854,1.38819,0.0006535,0.0006535,0.0006535
44,378.96,0.65831,0.83231,0.39971,1.05964,0.99262,0.99511,0.99439,0.72305,0.77317,0.77361,0.71423,0.25116,0.97786,1.18318,0.44572,1.36739,0.00064525,0.00064525,0.00064525
45,387.134,0.63324,0.8383,0.39529,1.0571,0.99196,0.99815,0.99438,0.7293,0.71835,0.72033,0.64283,0.2304,0.98449,1.20286,0.44354,1.38634,0.000637,0.000637,0.000637
46,395.182,0.60939,0.8015,0.38102,1.04074,0.99388,0.9969,0.99357,0.71498,0.78602,0.78726,0.73072,0.25203,1.00819,1.14764,0.45457,1.42087,0.00062875,0.00062875,0.00062875
47,403.244,0.60318,0.79721,0.3738,1.03804,0.99513,0.99563,0.99415,0.73359,0.80744,0.80606,0.76381,0.2664,0.98274,1.12208,0.43224,1.3839,0.0006205,0.0006205,0.0006205
48,411.389,0.60607,0.81032,0.38361,1.0388,0.99334,0.9953,0.99364,0.71588,0.7014,0.70315,0.64367,0.24146,1.02274,1.17229,0.44045,1.40851,0.00061225,0.00061225,0.00061225
49,419.532,0.60593,0.78705,0.37728,1.03637,0.99312,0.99699,0.99411,0.71584,0.77342,0.7647,0.72048,0.24822,1.04454,1.13934,0.46185,1.42502,0.000604,0.000604,0.000604
50,427.609,0.57753,0.71806,0.34303,1.01094,0.9936,0.99609,0.99418,0.72717,0.75815,0.75832,0.69898,0.2564,1.00289,1.15876,0.43796,1.40199,0.00059575,0.00059575,0.00059575
51,435.717,0.57606,0.74765,0.36065,1.02251,0.99496,0.99625,0.994,0.73065,0.73728,0.73492,0.67758,0.2453,0.98321,1.22162,0.44505,1.39259,0.0005875,0.0005875,0.0005875
52,443.782,0.58876,0.78082,0.36974,1.01625,0.99121,0.99537,0.99249,0.73944,0.78018,0.77804,0.72881,0.26512,0.93434,1.1562,0.42081,1.34927,0.00057925,0.00057925,0.00057925
53,452.022,0.54689,0.74712,0.35,0.99073,0.99095,0.99391,0.99355,0.73528,0.82015,0.81583,0.78016,0.27463,0.94543,1.16958,0.42985,1.37579,0.000571,0.000571,0.000571
54,460.218,0.54497,0.7358,0.34689,0.9946,0.99212,0.99466,0.99365,0.73056,0.80553,0.80188,0.7626,0.27118,0.94788,1.14752,0.42674,1.3622,0.00056275,0.00056275,0.00056275
55,468.272,0.54218,0.70701,0.34256,0.99408,0.99285,0.99572,0.99415,0.73725,0.82217,0.82275,0.78743,0.28223,0.94146,1.13693,0.41638,1.40403,0.0005545,0.0005545,0.0005545
56,476.472,0.53362,0.69455,0.33086,0.98375,0.9931,0.99681,0.99426,0.73782,0.81471,0.81039,0.76828,0.28021,0.93721,1.09837,0.40532,1.38619,0.00054625,0.00054625,0.00054625
57,484.526,0.54175,0.70633,0.34251,0.99225,0.99616,0.99682,0.99419,0.74134,0.82043,0.81655,0.77816,0.28203,0.97039,1.11763,0.41661,1.40862,0.000538,0.000538,0.000538
58,492.704,0.51589,0.68396,0.33534,0.98155,0.99589,0.99734,0.99393,0.73403,0.82927,0.83176,0.78545,0.28475,0.96907,1.11508,0.41831,1.40869,0.00052975,0.00052975,0.00052975
59,500.828,0.52682,0.70797,0.33793,0.98397,0.99594,0.99728,0.99431,0.74542,0.79961,0.79675,0.74532,0.27552,0.97821,1.17668,0.41808,1.42529,0.0005215,0.0005215,0.0005215
60,508.823,0.52408,0.73219,0.34342,0.98475,0.99415,0.99675,0.99407,0.73881,0.78361,0.78127,0.74128,0.27667,0.9686,1.2283,0.4242,1.42807,0.00051325,0.00051325,0.00051325
61,516.812,0.5031,0.69231,0.32772,0.96631,0.99599,0.99582,0.99425,0.74464,0.78417,0.78327,0.73584,0.25684,0.94779,1.14767,0.4117,1.39954,0.000505,0.000505,0.000505
62,524.806,0.49545,0.64662,0.31632,0.96109,0.99414,0.99656,0.99389,0.7438,0.81134,0.80845,0.76501,0.28025,0.94233,1.16019,0.42,1.38617,0.00049675,0.00049675,0.00049675
63,532.909,0.49231,0.65663,0.31562,0.96196,0.99652,0.99712,0.99398,0.74245,0.79206,0.79172,0.7394,0.25435,0.96586,1.1737,0.42122,1.40995,0.0004885,0.0004885,0.0004885
64,540.959,0.51515,0.68259,0.33338,0.97498,0.99595,0.99672,0.99385,0.7417,0.75886,0.75714,0.70739,0.25459,0.91607,1.26811,0.40409,1.38714,0.00048025,0.00048025,0.00048025
